"","t641736153_Clostridium_perfringens","t637000117_Fusobacterium_nucleatum","t646564540_Lactobacillus_johnsonii","t645058712_Lactobacillus_gasseri","t639633029_Lactobacillus_delbrueckii","t650716045_Lactobacillus_acidophilus","t651053039_Lactobacillus_casei","t637000143_Lactobacillus_salivarius","t637000141_Lactobacillus_plantarum","t643886059_Lactobacillus_brevis","t2511231143_Leuconostoc_mesenteroides","t648231713_Lactococcus_lactis","t637000303_Streptococcus_thermophilus","t649989932_Enterococcus_faecalis","t649633011_Bacillus_subtilis","t640963015_Bifidobacterium_adolescentis","t649633018_Bifidobacterium_longum","t2511231063_Propionibacterium_acnes","t637000209_Porphyromonas_gingivalis","t645058788_Bacteroides_fragilis","t637000026_Bacteroides_thetaiotaomicron","t646862310_Campylobacter_jejuni","t637000341_Wolinella_succinogenes","t643348538_Desulfovibrio_desulfuricans","t640427143_Shigella_sonnei","t637000261_Shigella_boydii","t638341196_Shigella_dysenteriae","t646862326_Escherichia_coli","t637000265_Shigella_flexneri","t637000255_Salmonella_enterica","t647000299_Pseudomonas_aeruginosa"
"t2511231143_Leuconostoc_mesenteroides",1874.5963,2137.6073,1046.068,1052.5693,1173.8238,1040.853,763.8845,691.2705,607.0724,765.1764,0,1032.1847,1155.5167,842.4807,1245.7493,3539.3896,3527.9842,3194.587,3487.1078,3275.6904,3284.0173,3313.8287,3190.4787,3090.3233,3438.359417,3510.860717,3664.602417,3410.583087,3513.3431,3454.6333,3101.8633
"t648231713_Lactococcus_lactis",1609.9924,1873.0034,1026.2841,1032.7854,1154.0399,1021.0691,744.1006,732.1722,708.7651,866.8691,1032.1847,0,472.668,491.54,981.1454,3274.7857,3263.3803,2929.9831,3222.5039,3011.0865,3019.4134,3049.2248,2925.8748,2825.7194,3173.755517,3246.256817,3399.998517,3145.979187,3248.7392,3190.0294,2837.2594
"t637000303_Streptococcus_thermophilus",1733.3244,1996.3354,1149.6161,1156.1174,1277.3719,1144.4011,867.4326,855.5042,832.0971,990.2011,1155.5167,472.668,0,614.872,1104.4774,3398.1177,3386.7123,3053.3151,3345.8359,3134.4185,3142.7454,3172.5568,3049.2068,2949.0514,3297.087517,3369.588817,3523.330517,3269.311187,3372.0712,3313.3614,2960.5914
"t649989932_Enterococcus_faecalis",1420.2884,1683.2994,836.5801,843.0814,964.3359,831.3651,554.3966,542.4682,519.0611,677.1651,842.4807,491.54,614.872,0,791.4414,3085.0817,3073.6763,2740.2791,3032.7999,2821.3825,2829.7094,2859.5208,2736.1708,2636.0154,2984.051517,3056.552817,3210.294517,2956.275187,3059.0352,3000.3254,2647.5554
"t649633011_Bacillus_subtilis",1168.579,1431.59,1239.8487,1246.35,1367.6045,1234.6337,957.6652,945.7368,922.3297,1080.4337,1245.7493,981.1454,1104.4774,791.4414,0,2833.3723,2821.9669,2488.5697,2781.0905,2569.6731,2578,2607.8114,2484.4614,2384.306,2732.342117,2804.843417,2958.585117,2704.565787,2807.3258,2748.616,2395.846
"t640963015_Bifidobacterium_adolescentis",2523.0913,3006.2103,3533.489,3539.9903,3661.2448,3528.274,3251.3055,3239.3771,3215.97,3374.074,3539.3896,3274.7857,3398.1177,3085.0817,2833.3723,0,150.4538,1183.5766,3199.4754,2988.058,2996.3849,3026.1963,2902.8463,2802.6909,3150.727017,3223.228317,3376.970017,3122.950687,3225.7107,3167.0009,2814.2309
"t649633018_Bifidobacterium_longum",2511.6859,2994.8049,3522.0836,3528.5849,3649.8394,3516.8686,3239.9001,3227.9717,3204.5646,3362.6686,3527.9842,3263.3803,3386.7123,3073.6763,2821.9669,150.4538,0,1172.1712,3188.07,2976.6526,2984.9795,3014.7909,2891.4409,2791.2855,3139.321617,3211.822917,3365.564617,3111.545287,3214.3053,3155.5955,2802.8255
"t2511231063_Propionibacterium_acnes",2178.2887,2661.4077,3188.6864,3195.1877,3316.4422,3183.4714,2906.5029,2894.5745,2871.1674,3029.2714,3194.587,2929.9831,3053.3151,2740.2791,2488.5697,1183.5766,1172.1712,0,2854.6728,2643.2554,2651.5823,2681.3937,2558.0437,2457.8883,2805.924417,2878.425717,3032.167417,2778.148087,2880.9081,2822.1983,2469.4283
"t637000209_Porphyromonas_gingivalis",2470.8095,2953.9285,3481.2072,3487.7085,3608.963,3475.9922,3199.0237,3187.0953,3163.6882,3321.7922,3487.1078,3222.5039,3345.8359,3032.7999,2781.0905,3199.4754,3188.07,2854.6728,0,530.5326,538.8595,2833.8709,2710.5209,2610.3655,2958.401617,3030.902917,3184.644617,2930.625287,3033.3853,2974.6755,2621.9055
"t645058788_Bacteroides_fragilis",2259.3921,2742.5111,3269.7898,3276.2911,3397.5456,3264.5748,2987.6063,2975.6779,2952.2708,3110.3748,3275.6904,3011.0865,3134.4185,2821.3825,2569.6731,2988.058,2976.6526,2643.2554,530.5326,0,66.6081,2622.4535,2499.1035,2398.9481,2746.984217,2819.485517,2973.227217,2719.207887,2821.9679,2763.2581,2410.4881
"t637000026_Bacteroides_thetaiotaomicron",2267.719,2750.838,3278.1167,3284.618,3405.8725,3272.9017,2995.9332,2984.0048,2960.5977,3118.7017,3284.0173,3019.4134,3142.7454,2829.7094,2578,2996.3849,2984.9795,2651.5823,538.8595,66.6081,0,2630.7804,2507.4304,2407.275,2755.311117,2827.812417,2981.554117,2727.534787,2830.2948,2771.585,2418.815
"t646862310_Campylobacter_jejuni",2297.5304,2780.6494,3307.9281,3314.4294,3435.6839,3302.7131,3025.7446,3013.8162,2990.4091,3148.5131,3313.8287,3049.2248,3172.5568,2859.5208,2607.8114,3026.1963,3014.7909,2681.3937,2833.8709,2622.4535,2630.7804,0,643.07,2309.6686,2657.704717,2730.206017,2883.947717,2629.928387,2732.6884,2673.9786,2321.2086
"t637000341_Wolinella_succinogenes",2174.1804,2657.2994,3184.5781,3191.0794,3312.3339,3179.3631,2902.3946,2890.4662,2867.0591,3025.1631,3190.4787,2925.8748,3049.2068,2736.1708,2484.4614,2902.8463,2891.4409,2558.0437,2710.5209,2499.1035,2507.4304,643.07,0,2186.3186,2534.354717,2606.856017,2760.597717,2506.578387,2609.3384,2550.6286,2197.8586
"t643348538_Desulfovibrio_desulfuricans",2074.025,2557.144,3084.4227,3090.924,3212.1785,3079.2077,2802.2392,2790.3108,2766.9037,2925.0077,3090.3233,2825.7194,2949.0514,2636.0154,2384.306,2802.6909,2791.2855,2457.8883,2610.3655,2398.9481,2407.275,2309.6686,2186.3186,0,2298.748117,2371.249417,2524.991117,2270.971787,2373.7318,2315.022,1962.252
"t640427143_Shigella_sonnei",2422.061117,2905.180117,3432.458817,3438.960117,3560.214617,3427.243817,3150.275317,3138.346917,3114.939817,3273.043817,3438.359417,3173.755517,3297.087517,2984.051517,2732.342117,3150.727017,3139.321617,2805.924417,2958.401617,2746.984217,2755.311117,2657.704717,2534.354717,2298.748117,0,127.2289,320.2274,66.20807,170.112317,182.868117,1111.994117
"t637000261_Shigella_boydii",2494.562417,2977.681417,3504.960117,3511.461417,3632.715917,3499.745117,3222.776617,3210.848217,3187.441117,3345.545117,3510.860717,3246.256817,3369.588817,3056.552817,2804.843417,3223.228317,3211.822917,2878.425717,3030.902917,2819.485517,2827.812417,2730.206017,2606.856017,2371.249417,127.2289,0,392.7287,138.70937,242.613617,255.369417,1184.495417
"t638341196_Shigella_dysenteriae",2648.304117,3131.423117,3658.701817,3665.203117,3786.457617,3653.486817,3376.518317,3364.589917,3341.182817,3499.286817,3664.602417,3399.998517,3523.330517,3210.294517,2958.585117,3376.970017,3365.564617,3032.167417,3184.644617,2973.227217,2981.554117,2883.947717,2760.597717,2524.991117,320.2274,392.7287,0,260.92067,396.355317,409.111117,1338.237117
"t646862326_Escherichia_coli",2394.284787,2877.403787,3404.682487,3411.183787,3532.438287,3399.467487,3122.498987,3110.570587,3087.163487,3245.267487,3410.583087,3145.979187,3269.311187,2956.275187,2704.565787,3122.950687,3111.545287,2778.148087,2930.625287,2719.207887,2727.534787,2629.928387,2506.578387,2270.971787,66.20807,138.70937,260.92067,0,142.335987,155.091787,1084.217787
"t637000265_Shigella_flexneri",2497.0448,2980.1638,3507.4425,3513.9438,3635.1983,3502.2275,3225.259,3213.3306,3189.9235,3348.0275,3513.3431,3248.7392,3372.0712,3059.0352,2807.3258,3225.7107,3214.3053,2880.9081,3033.3853,2821.9679,2830.2948,2732.6884,2609.3384,2373.7318,170.112317,242.613617,396.355317,142.335987,0,257.8518,1186.9778
"t637000255_Salmonella_enterica",2438.335,2921.454,3448.7327,3455.234,3576.4885,3443.5177,3166.5492,3154.6208,3131.2137,3289.3177,3454.6333,3190.0294,3313.3614,3000.3254,2748.616,3167.0009,3155.5955,2822.1983,2974.6755,2763.2581,2771.585,2673.9786,2550.6286,2315.022,182.868117,255.369417,409.111117,155.091787,257.8518,0,1128.268
"t647000299_Pseudomonas_aeruginosa",2085.565,2568.684,3095.9627,3102.464,3223.7185,3090.7477,2813.7792,2801.8508,2778.4437,2936.5477,3101.8633,2837.2594,2960.5914,2647.5554,2395.846,2814.2309,2802.8255,2469.4283,2621.9055,2410.4881,2418.815,2321.2086,2197.8586,1962.252,1111.994117,1184.495417,1338.237117,1084.217787,1186.9778,1128.268,0
