branch	length@orginal	lengthAfterBBL	factor	Diff	logL@orginal	logLAfterBBL	logL_Diff
t637000184_Mycoplasma_pulmonis	0.8967	0.00374	0.004171	-0.893	-1.189e+05	-1.185e+05	368.8
t637000185_Mycoplasma_synoviae	1.069	0.02013	0.01883	-1.049	-1.188e+05	-1.185e+05	317.6
t637000178_Mycoplasma_hyopneumoniae	1.361	0.02245	0.0165	-1.339	-1.189e+05	-1.185e+05	330.3
t637000306_Symbiobacterium_thermophilum	1.365	0.1175	0.0861	-1.248	-1.188e+05	-1.185e+05	249.3
N59	0.08969	0.01343	0.1497	-0.07626	-1.185e+05	-1.185e+05	1.895
N60	0.1249	0.002286	0.0183	-0.1226	-1.187e+05	-1.185e+05	121.1
N61	0.1774	3.2e-05	0.0001804	-0.1773	-1.187e+05	-1.185e+05	129.3
N62	0.8355	0.07278	0.08712	-0.7627	-1.188e+05	-1.185e+05	269.2
t637000322_Thermus_thermophilus	0.9278	0.07659	0.08255	-0.8512	-1.188e+05	-1.185e+05	311.7
N63	0.9152	0.02148	0.02347	-0.8938	-1.189e+05	-1.185e+05	398
t637000092_Deinococcus_radiodurans	0.3105	0.04072	0.1311	-0.2697	-1.188e+05	-1.185e+05	231.2
t641228488_Deinococcus_geothermalis	0.1681	0.01608	0.09566	-0.152	-1.187e+05	-1.185e+05	188.6
N64	0.8717	0.1647	0.189	-0.707	-1.186e+05	-1.185e+05	94.31
t637000121_Gloeobacter_violaceus	0.6355	0.03757	0.05912	-0.598	-1.189e+05	-1.185e+05	333.5
N65	0.3745	0.02608	0.06964	-0.3484	-1.188e+05	-1.185e+05	223
N66	0.1609	0.02703	0.168	-0.1339	-1.186e+05	-1.185e+05	100.3
t641228501_Prochlorococcus_marinus	1.591	0.05391	0.03388	-1.537	-1.189e+05	-1.185e+05	405.5
t637000308_Synechococcus_elongatus	0.3405	0.01727	0.05072	-0.3232	-1.188e+05	-1.185e+05	260
N67	0.1465	0.0001199	0.0008179	-0.1464	-1.187e+05	-1.185e+05	176.3
t637000320_Thermosynechococcus_elongatus	0.6504	0.04104	0.06309	-0.6094	-1.189e+05	-1.185e+05	347.7
N68	0.1186	0.01591	0.1341	-0.1027	-1.186e+05	-1.185e+05	97.05
t637000329_Trichodesmium_erythraeum	0.4637	0.0341	0.07353	-0.4296	-1.189e+05	-1.185e+05	336.7
t646564504_Anabaena_variabilis	0.3895	0.03548	0.0911	-0.354	-1.188e+05	-1.185e+05	308.8
N69	0.5384	0.02925	0.05433	-0.5091	-1.188e+05	-1.185e+05	314.6
N70	1.112	0.03575	0.03215	-1.076	-1.189e+05	-1.185e+05	400
t637000115_Frankia_alni	0.6672	0.0841	0.126	-0.5831	-1.189e+05	-1.185e+05	336.3
N71	0.1147	0.005535	0.04827	-0.1091	-1.187e+05	-1.185e+05	153.2
t639633001_Acidothermus_cellulolyticus	0.599	0.1283	0.2143	-0.4706	-1.187e+05	-1.185e+05	193.3
N72	0.07025	0.00719	0.1024	-0.06305	-1.186e+05	-1.185e+05	82.96
N73	0.07326	0.001967	0.02685	-0.07129	-1.186e+05	-1.185e+05	110.7
N74	0.06751	0.002859	0.04235	-0.06465	-1.186e+05	-1.185e+05	114.6
N75	0.1039	0.03894	0.3749	-0.06493	-1.186e+05	-1.185e+05	32.63
N76	0.2858	0.02475	0.0866	-0.2611	-1.187e+05	-1.185e+05	182.4
N77	1.393	0.2454	0.1761	-1.148	-1.186e+05	-1.185e+05	55.06
t640963015_Bifidobacterium_adolescentis	0.2239	0.02405	0.1074	-0.1999	-1.186e+05	-1.185e+05	116.3
t649633019_Bifidobacterium_longum	0.2674	0.008512	0.03183	-0.2589	-1.187e+05	-1.185e+05	157.9
N78	0.182	0.00106	0.005823	-0.181	-1.187e+05	-1.185e+05	150.6
N79	0.2546	0.1197	0.4704	-0.1348	-1.186e+05	-1.185e+05	24.81
t637000331_Tropheryma_whipplei	1.528	0.2375	0.1555	-1.29	-1.186e+05	-1.185e+05	74.13
t637000149_Leifsonia_xyli	0.4762	0.01017	0.02136	-0.466	-1.187e+05	-1.185e+05	144.7
t639633005_Arthrobacter_aurescens	0.6096	0.03884	0.06371	-0.5707	-1.189e+05	-1.185e+05	337.6
t651053059_Propionibacterium_acnes	1.164	0.1288	0.1107	-1.035	-1.187e+05	-1.185e+05	179.8
N80	1.232	0.03542	0.02875	-1.196	-1.192e+05	-1.185e+05	690.3
t637000305_Streptomyces_coelicolor	0.09485	0.02772	0.2922	-0.06713	-1.187e+05	-1.185e+05	124.1
t637000304_Streptomyces_avermitilis	0.2286	0.02717	0.1189	-0.2014	-1.189e+05	-1.185e+05	391.2
N81	0.6095	0.01555	0.02551	-0.594	-1.191e+05	-1.185e+05	526.2
N82	0.5067	0.09411	0.1857	-0.4126	-1.187e+05	-1.185e+05	141.3
t647000231_Corynebacterium_jeikeium	0.5231	0.05807	0.111	-0.465	-1.187e+05	-1.185e+05	196.7
N83	0.3022	0.009744	0.03224	-0.2925	-1.187e+05	-1.185e+05	177.7
t2511231083_Corynebacterium_diphtheriae	0.5076	0.0527	0.1038	-0.4549	-1.187e+05	-1.185e+05	203.2
N84	0.178	0.02126	0.1194	-0.1568	-1.186e+05	-1.185e+05	103.1
t644736345_Corynebacterium_efficiens	0.1267	0.01809	0.1427	-0.1086	-1.186e+05	-1.185e+05	112
t640427110_Corynebacterium_glutamicum	0.1317	0.01704	0.1294	-0.1146	-1.187e+05	-1.185e+05	118.1
N85	0.1065	0.02252	0.2115	-0.08394	-1.187e+05	-1.185e+05	118.9
t637000198_Nocardia_farcinica	0.3473	0.04382	0.1262	-0.3035	-1.189e+05	-1.185e+05	367.6
N86	0.3396	0.0238	0.07007	-0.3158	-1.19e+05	-1.185e+05	433.1
N87	0.07834	0.003816	0.04871	-0.07453	-1.187e+05	-1.185e+05	139.2
t2506783060_Mycobacterium_smegmatis	0.3322	0.03376	0.1016	-0.2984	-1.19e+05	-1.185e+05	494.4
t639633044_Mycobacterium_vanbaalenii	0.1745	0.03366	0.1929	-0.1409	-1.188e+05	-1.185e+05	241.8
N88	0.1575	0.0372	0.2363	-0.1203	-1.187e+05	-1.185e+05	148.7
t645058725_Mycobacterium_avium	0.1527	0.0201	0.1316	-0.1326	-1.187e+05	-1.185e+05	184.2
N89	0.02866	0.01425	0.4971	-0.01441	-1.185e+05	-1.185e+05	10.9
t637000170_Mycobacterium_leprae	0.2158	0.1399	0.6483	-0.0759	-1.185e+05	-1.185e+05	15.13
N90	0.01931	1.007e-07	5.218e-06	-0.01931	-1.186e+05	-1.185e+05	25.96
N91	0.1361	0.0146	0.1072	-0.1215	-1.187e+05	-1.185e+05	181.4
t643692028_Mycobacterium_bovis	0.005939	0.003809	0.6413	-0.00213	-1.185e+05	-1.185e+05	1.494
t2512564073_Mycobacterium_tuberculosis	0.2441	0.003733	0.0153	-0.2403	-1.19e+05	-1.185e+05	441.2
t642555140_Mycobacterium_ulcerans	0.1573	0.02256	0.1434	-0.1347	-1.187e+05	-1.185e+05	190.2
t637000319_Thermobifida_fusca	0.655	0.1032	0.1576	-0.5517	-1.188e+05	-1.185e+05	271.4
t637000248_Rubrobacter_xylanophilus	1.465	0.1155	0.07884	-1.349	-1.188e+05	-1.185e+05	281.7
N92	0.1601	0.02253	0.1407	-0.1376	-1.186e+05	-1.185e+05	116.1
N93	0.08561	0.01177	0.1375	-0.07384	-1.185e+05	-1.185e+05	6.861
N94	0.1471	0.02962	0.2013	-0.1175	-1.185e+05	-1.185e+05	11.5
t637000236_Rhodopirellula_baltica	2.348	0.1292	0.05503	-2.219	-1.187e+05	-1.185e+05	193.1
N95	2.299	0.669	0.291	-1.63	-1.185e+05	-1.185e+05	6.442
N96	0.2619	0.006859	0.02619	-0.255	-1.187e+05	-1.185e+05	184.3
t645951815_Chlamydia_muridarum	0.07756	0.002861	0.03688	-0.0747	-1.186e+05	-1.185e+05	76.48
t637000063_Chlamydia_trachomatis	0.08047	0.002218	0.02756	-0.07826	-1.186e+05	-1.185e+05	81.75
N97	0.2185	1.003e-07	4.59e-07	-0.2185	-1.187e+05	-1.185e+05	170.1
t637000065_Chlamydophila_abortus	0.09296	0.004519	0.04861	-0.08844	-1.186e+05	-1.185e+05	88.38
N98	0.01963	0.003371	0.1717	-0.01626	-1.185e+05	-1.185e+05	10.33
t637000066_Chlamydophila_caviae	0.07601	0.002836	0.03731	-0.07317	-1.186e+05	-1.185e+05	79.86
t637000067_Chlamydophila_felis	0.07786	1.01e-07	1.297e-06	-0.07786	-1.186e+05	-1.185e+05	89.74
N99	0.1179	0.01976	0.1676	-0.09814	-1.185e+05	-1.185e+05	4.991
N100	0.2432	0.02351	0.09669	-0.2197	-1.186e+05	-1.185e+05	25.32
N101	0.597	1.069	1.79	0.4718	-1.186e+05	-1.185e+05	28.71
N102	1.739	0.0986	0.05669	-1.641	-1.187e+05	-1.185e+05	135.2
N103	0.005749	0.003049	0.5304	-0.0027	-1.185e+05	-1.185e+05	0.8259
t2511231194_Borrelia_garinii	0.2291	0.004313	0.01882	-0.2248	-1.187e+05	-1.185e+05	189.9
t641736176_Borrelia_afzelii	0.04041	1.011e-07	2.501e-06	-0.04041	-1.186e+05	-1.185e+05	51.83
t650377913_Borrelia_burgdorferi	0.05068	0.004962	0.0979	-0.04572	-1.186e+05	-1.185e+05	42.43
N104	1.419	0.001024	0.000722	-1.418	-1.187e+05	-1.185e+05	136.2
t637000327_Treponema_denticola	0.5058	0.2238	0.4425	-0.282	-1.186e+05	-1.185e+05	18.84
t2511231215_Treponema_pallidum	1.147	0.04517	0.03938	-1.102	-1.187e+05	-1.185e+05	145.6
N105	2.123	0.1327	0.06247	-1.991	-1.187e+05	-1.185e+05	173.5
t637000150_Leptospira_interrogans	0.0672	0.005699	0.0848	-0.0615	-1.186e+05	-1.185e+05	54.04
t639633033_Leptospira_borgpetersenii	0.06668	0.01913	0.2868	-0.04756	-1.186e+05	-1.185e+05	30.91
N106	0.6957	0.02167	0.03114	-0.674	-1.187e+05	-1.185e+05	149.1
N107	0.9473	0.03473	0.03667	-0.9126	-1.187e+05	-1.185e+05	189.5
t637000087_Cytophaga_hutchinsonii	1.285	0.07592	0.05908	-1.209	-1.188e+05	-1.185e+05	259
N108	0.2255	0.01087	0.04819	-0.2147	-1.186e+05	-1.185e+05	87.78
N109	0.9968	0.1084	0.1087	-0.8884	-1.186e+05	-1.185e+05	109.6
t650716072_Porphyromonas_gingivalis	0.7441	0.1516	0.2037	-0.5925	-1.186e+05	-1.185e+05	78.28
N110	0.4804	0.006226	0.01296	-0.4742	-1.187e+05	-1.185e+05	152.9
t637000024_Bacteroides_fragilis	0.123	0.004544	0.03693	-0.1185	-1.187e+05	-1.185e+05	139.3
t637000026_Bacteroides_thetaiotaomicron	0.1068	0.02243	0.2101	-0.08434	-1.186e+05	-1.185e+05	82.71
t639633025_Gramella_forsetii	1.332	0.08681	0.06519	-1.245	-1.188e+05	-1.185e+05	235.2
t637000250_Salinibacter_ruber	1.403	0.1302	0.0928	-1.273	-1.187e+05	-1.185e+05	152.3
N111	0.157	0.007461	0.04752	-0.1495	-1.187e+05	-1.185e+05	147.2
N112	0.4134	0.1225	0.2962	-0.2909	-1.186e+05	-1.185e+05	37.83
N113	1.753	0.1171	0.06677	-1.636	-1.187e+05	-1.185e+05	140.3
N114	0.4899	0.01724	0.03519	-0.4726	-1.188e+05	-1.185e+05	226.5
t639633016_Campylobacter_fetus	0.5679	0.02003	0.03526	-0.5479	-1.188e+05	-1.185e+05	286.1
t640963041_Campylobacter_jejuni	0.6978	0.02546	0.03649	-0.6723	-1.188e+05	-1.185e+05	306.9
N115	0.301	0.006585	0.02188	-0.2944	-1.187e+05	-1.185e+05	176.2
t637000341_Wolinella_succinogenes	0.4709	0.03619	0.07685	-0.4347	-1.187e+05	-1.185e+05	215.3
N116	0.2918	0.02438	0.08355	-0.2674	-1.187e+05	-1.185e+05	131.4
N117	0.864	0.0789	0.09131	-0.7851	-1.187e+05	-1.185e+05	176.7
t650377950_Helicobacter_pylori	0.05403	0.002868	0.05307	-0.05116	-1.186e+05	-1.185e+05	57.11
t637000130_Helicobacter_acinonychis	0.08999	0.008153	0.09059	-0.08184	-1.186e+05	-1.185e+05	82.39
t637000131_Helicobacter_hepaticus	0.6134	0.02075	0.03384	-0.5926	-1.188e+05	-1.185e+05	258
t637000010_Aquifex_aeolicus	1.628	0.137	0.08414	-1.491	-1.187e+05	-1.185e+05	151.6
N118	0.1922	4.786e-05	0.000249	-0.1922	-1.188e+05	-1.185e+05	218.5
N119	0.123	0.08372	0.6806	-0.0393	-1.185e+05	-1.185e+05	-7.991
N120	0.5263	0.0186	0.03534	-0.5077	-1.188e+05	-1.185e+05	251.2
t637000204_Pelobacter_carbinolicus	0.8213	0.05502	0.06699	-0.7662	-1.188e+05	-1.185e+05	314.5
N121	0.32	0.0151	0.04718	-0.3049	-1.188e+05	-1.185e+05	218.7
t639633050_Pelobacter_propionicus	0.5604	0.04251	0.07585	-0.5179	-1.188e+05	-1.185e+05	284.2
N122	0.2654	0.02277	0.08581	-0.2426	-1.187e+05	-1.185e+05	186.4
t648231707_Geobacter_sulfurreducens	0.18	0.01181	0.06563	-0.1682	-1.187e+05	-1.185e+05	169.4
t637000119_Geobacter_metallireducens	0.1629	0.03132	0.1923	-0.1316	-1.187e+05	-1.185e+05	121.2
N123	0.1522	0.01922	0.1263	-0.133	-1.186e+05	-1.185e+05	69.48
N124	0.1224	0.01106	0.09037	-0.1113	-1.186e+05	-1.185e+05	57.97
N125	1.434	0.06837	0.04769	-1.365	-1.188e+05	-1.185e+05	281.1
t637000096_Desulfovibrio_vulgaris	0.372	0.01236	0.03323	-0.3597	-1.189e+05	-1.185e+05	319
N126	0.162	2.449e-05	0.0001512	-0.162	-1.187e+05	-1.185e+05	164.7
t637000145_Lawsonia_intracellularis	0.9577	0.2085	0.2177	-0.7492	-1.186e+05	-1.185e+05	81.5
t643348538_Desulfovibrio_desulfuricans	0.6938	0.02335	0.03365	-0.6705	-1.19e+05	-1.185e+05	421.3
t637000094_Desulfotalea_psychrophila	1.576	0.1051	0.06667	-1.471	-1.188e+05	-1.185e+05	229.8
N127	0.06983	0.02867	0.4105	-0.04117	-1.185e+05	-1.185e+05	13.96
t639633063_Syntrophobacter_fumaroxidans	1.317	0.05558	0.04221	-1.261	-1.188e+05	-1.185e+05	314.7
t637000317_Syntrophus_aciditrophicus	1.211	0.1183	0.09768	-1.093	-1.187e+05	-1.185e+05	167.4
N128	0.1438	0.01716	0.1193	-0.1267	-1.186e+05	-1.185e+05	106.8
N129	0.146	0.01631	0.1117	-0.1297	-1.186e+05	-1.185e+05	67.89
t637000030_Bdellovibrio_bacteriovorus	1.847	0.2267	0.1227	-1.621	-1.186e+05	-1.185e+05	96.28
N130	0.5227	0.02123	0.04061	-0.5015	-1.188e+05	-1.185e+05	271.9
t637000186_Myxococcus_xanthus	0.8736	0.08656	0.09908	-0.787	-1.188e+05	-1.185e+05	263.9
t637000007_Anaeromyxobacter_dehalogenans	0.7732	0.0742	0.09597	-0.699	-1.188e+05	-1.185e+05	261.2
N131	0.4261	0.04312	0.1012	-0.3829	-1.188e+05	-1.185e+05	261.2
N132	0.7781	0.01788	0.02297	-0.7602	-1.192e+05	-1.185e+05	633.1
N133	0.212	0.006764	0.0319	-0.2053	-1.189e+05	-1.185e+05	366.6
t637000325_Thiomicrospira_crunogena	1.134	0.1897	0.1673	-0.9441	-1.187e+05	-1.185e+05	155.5
N134	0.05408	0.001716	0.03174	-0.05236	-1.186e+05	-1.185e+05	89.7
N135	0.1263	0.01133	0.08968	-0.115	-1.187e+05	-1.185e+05	182.1
N136	0.1279	0.01627	0.1272	-0.1116	-1.187e+05	-1.185e+05	171.3
N137	0.5664	0.05711	0.1008	-0.5092	-1.188e+05	-1.185e+05	299.6
N138	0.1038	0.01828	0.1761	-0.0855	-1.186e+05	-1.185e+05	46.81
N139	0.4217	0.03185	0.07554	-0.3898	-1.189e+05	-1.185e+05	337.1
t639633057_Shewanella_amazonensis	0.1911	0.01304	0.06825	-0.178	-1.188e+05	-1.185e+05	270.2
N140	0.07783	0.001984	0.0255	-0.07584	-1.187e+05	-1.185e+05	130.2
t640069331_Shewanella_loihica	0.2334	0.009872	0.0423	-0.2235	-1.189e+05	-1.185e+05	343.6
N141	0.03716	0.004567	0.1229	-0.03259	-1.186e+05	-1.185e+05	45.95
