# Gain and Loss
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N33	0.005397	0.3173	0.03139	1	3.222	8.878
N34	0.008399	0.3257	0.04518	1	3.612	13.5
t651053075_Streptococcus_thermophilus	0.04518	0.3709	0	0	20.8	81.29
N35	0.03919	0.3649	0.01983	1	25.68	64.95
t640069333_Streptococcus_pyogenes	0.04507	0.41	0	0	29.35	67.58
t638341205_Streptococcus_agalactiae	0.01983	0.3847	0	0	27.59	20.81
t646564575_Streptococcus_mutans	0.03139	0.3487	0	0	31.35	47.73
N36	0.006057	0.318	0.04049	1	4.505	9.234
t640963052_Streptococcus_pneumoniae	0.0465	0.3645	0	0	37.87	65.17
t640069334_Streptococcus_sanguinis	0.04049	0.3585	0	0	62.33	43.64
t647533130_Enterococcus_faecalis	0.05565	0.3201	0	0	59.65	77.03
N37	0.01558	0.146	0.05695	2	39.12	20.85
N38	0.003879	0.1499	0.05307	1	4.561	9.513
t637000201_Oceanobacillus_iheyensis	0.07803	0.228	0	0	76.94	189.5
N39	0.01807	0.168	0.035	1	19.36	43.19
t637000019_Bacillus_clausii	0.03691	0.2049	0	0	42.53	71.22
t637000020_Bacillus_halodurans	0.035	0.203	0	0	43.93	86.62
N40	0.01105	0.1571	0.04848	1	19.77	20.57
t637000118_Geobacillus_kaustophilus	0.07609	0.2332	0	0	90.53	172.2
N41	0.003612	0.1607	0.04487	2	5.95	8.233
N42	0.02763	0.1883	0.01724	1	36.75	52.88
t650377907_Bacillus_subtilis	0.02048	0.2088	0	0	24.29	42.55
t639279304_Bacillus_licheniformis	0.01724	0.2056	0	0	18.96	41.21
N43	0.0576	0.2183	0.0008851	1	80.34	137.3
N44	7.326e-05	0.2184	0.007012	1	0.008378	0.1946
t643692005_Bacillus_anthracis	0.007012	0.2254	0	0	4.865	17.06
t641736135_Bacillus_cereus	0.009777	0.2282	0	0	12.06	18.25
t637000023_Bacillus_thuringiensis	0.0008851	0.2192	0	0	2.387	0.7711
N45	0.08511	0.2156	0.01222	1	59.5	226
t637000284_Staphylococcus_saprophyticus	0.01222	0.2278	0	0	6.671	28.36
N46	0.01275	0.2283	0.01728	1	14.22	18.94
N47	0.006269	0.2346	0.01512	1	3.226	13.53
t642555160_Staphylococcus_haemolyticus	0.01923	0.2538	0	0	13.51	33.17
t645058812_Staphylococcus_epidermidis	0.01512	0.2497	0	0	7.61	33.28
t645058811_Staphylococcus_aureus	0.01728	0.2456	0	0	17.1	28.07
N48	1.433	1.512	0.01772	2	1393	1917
N49	1.003e-07	1.512	0.01772	1	0.0001245	3.214e-05
t637000158_Mesoplasma_florum	0.02108	1.533	0	0	10.63	20.22
N50	0.01038	1.523	0.007342	1	12.89	4.239
t637000181_Mycoplasma_mycoides	0.007342	1.53	0	0	10.25	1.494
t637000174_Mycoplasma_capricolum	0.009814	1.533	0	0	6.417	8.662
N51	0.009014	1.521	0.02141	2	2.656	11.94
N52	0.007222	1.529	0.02684	2	2.857	6.43
N53	0.008799	1.537	0.01804	1	1.978	8.544
t637000175_Mycoplasma_gallisepticum	0.01804	1.555	0	0	12.42	15.58
N54	0.01347	1.551	0.006195	1	6.733	11.83
t637000183_Mycoplasma_pneumoniae	0.006658	1.558	0	0	5.598	2.671
t638341133_Mycoplasma_genitalium	0.006195	1.557	0	0	0.8849	8.957
N55	0.002702	1.531	0.0383	1	2.961	1.078
t645951878_Ureaplasma_urealyticum	0.04384	1.575	0	0	13.54	47.16
t637000182_Mycoplasma_penetrans	0.0383	1.57	0	0	54.86	11.48
N56	0.009615	1.531	0.01179	1	6.051	8.69
t637000180_Mycoplasma_mobile	0.02784	1.559	0	0	22.05	20.72
N57	0.008053	1.539	0.00374	1	4.291	7.32
N58	1.002e-07	1.539	0.00374	1	8.173e-05	1.667e-05
t637000184_Mycoplasma_pulmonis	0.00374	1.543	0	0	3.899	1.537
t637000185_Mycoplasma_synoviae	0.02013	1.559	0	0	8.406	21.04
t637000178_Mycoplasma_hyopneumoniae	0.02245	1.562	0	0	10.18	21.82
t637000306_Symbiobacterium_thermophilum	0.1175	0.1569	0	0	92.96	271.7
N59	0.01343	0.01343	0.1127	3	45.83	20.16
N60	0.002286	0.01571	0.1104	2	3.779	6.626
N61	3.2e-05	0.01574	0.1103	2	0.02523	0.1157
N62	0.07278	0.08853	0.03756	1	72.4	208.8
t637000322_Thermus_thermophilus	0.07659	0.1651	0	0	55.77	168.9
N63	0.02148	0.11	0.01608	1	21.78	50.86
t637000092_Deinococcus_radiodurans	0.04072	0.1507	0	0	27.87	95.87
t641228488_Deinococcus_geothermalis	0.01608	0.1261	0	0	18.36	24.36
N64	0.1647	0.1805	0.03757	1	191.6	391.5
t637000121_Gloeobacter_violaceus	0.03757	0.218	0	0	31.95	59.54
N65	0.02608	0.2065	0.04116	2	32.02	39.84
N66	0.02703	0.2336	0.01727	1	19.29	52.91
t641228501_Prochlorococcus_marinus	0.05391	0.2875	0	0	28.13	100.3
t637000308_Synechococcus_elongatus	0.01727	0.2508	0	0	19.76	21.91
N67	0.0001199	0.2067	0.04104	1	0.1666	0.1585
t637000320_Thermosynechococcus_elongatus	0.04104	0.2477	0	0	17.96	86.74
N68	0.01591	0.2226	0.0341	1	29.2	12.62
t637000329_Trichodesmium_erythraeum	0.0341	0.2567	0	0	37	55.35
t646564504_Anabaena_variabilis	0.03548	0.2581	0	0	68.97	27.32
N69	0.02925	0.04496	0.1155	1	60.5	61.32
N70	0.03575	0.08071	0.08015	1	83.41	77.09
t637000115_Frankia_alni	0.0841	0.1648	0	0	87.98	218.1
N71	0.005535	0.08625	0.07461	1	10.18	12.43
t639633001_Acidothermus_cellulolyticus	0.1283	0.2146	0	0	71.77	349.6
N72	0.00719	0.09344	0.06742	1	18.68	11.97
N73	0.001967	0.0954	0.06545	3	6.054	2.532
N74	0.002859	0.09826	0.06259	2	6.297	5.124
N75	0.03894	0.1372	0.06465	1	40.48	131.1
N76	0.02475	0.162	0.0399	2	24.14	74.04
N77	0.2454	0.4074	0.008512	1	186.1	484.1
t640963015_Bifidobacterium_adolescentis	0.02405	0.4314	0	0	17.02	31.67
t649633019_Bifidobacterium_longum	0.008512	0.4159	0	0	5.89	9.545
N78	0.00106	0.163	0.03884	1	1.293	2.394
N79	0.1197	0.2828	0.01017	1	61.62	290.3
t637000331_Tropheryma_whipplei	0.2375	0.5203	0	0	152.8	326.7
t637000149_Leifsonia_xyli	0.01017	0.2929	0	0	4.542	16.48
t639633005_Arthrobacter_aurescens	0.03884	0.2019	0	0	70.31	54.91
t651053059_Propionibacterium_acnes	0.1288	0.266	0	0	127.5	301.1
N80	0.03542	0.1337	0.02717	1	70.46	58.96
t637000305_Streptomyces_coelicolor	0.02772	0.1614	0	0	63.72	43.46
t637000304_Streptomyces_avermitilis	0.02717	0.1609	0	0	48.14	58.88
N81	0.01555	0.111	0.06634	2	21.85	45.45
N82	0.09411	0.2051	0.04805	1	56.9	289
t647000231_Corynebacterium_jeikeium	0.05807	0.2631	0	0	25.55	120
N83	0.009744	0.2148	0.0383	1	9.764	19.04
t2511231083_Corynebacterium_diphtheriae	0.0527	0.2675	0	0	32.53	100.7
N84	0.02126	0.2361	0.01704	1	29.24	28.82
t644736345_Corynebacterium_efficiens	0.01809	0.2542	0	0	24.62	22.18
t640427110_Corynebacterium_glutamicum	0.01704	0.2531	0	0	23.43	20.99
N85	0.02252	0.1335	0.04382	1	40.39	40.7
t637000198_Nocardia_farcinica	0.04382	0.1773	0	0	47.23	114.4
N86	0.0238	0.1573	0.03748	2	43.55	48.02
N87	0.003816	0.1611	0.03366	1	7.849	5.14
t2506783060_Mycobacterium_smegmatis	0.03376	0.1949	0	0	87.55	38.94
t639633044_Mycobacterium_vanbaalenii	0.03366	0.1948	0	0	53.68	71.08
N88	0.0372	0.1945	0.0201	1	17.93	118.1
t645058725_Mycobacterium_avium	0.0201	0.2146	0	0	19.59	45.08
N89	0.01425	0.2087	0.01833	1	11.43	32.36
t637000170_Mycobacterium_leprae	0.1399	0.3486	0	0	58.8	290.4
N90	1.007e-07	0.2087	0.01833	1	8.989e-05	0.0001621
N91	0.0146	0.2233	0.003733	1	11.44	32.31
t643692028_Mycobacterium_bovis	0.003809	0.2271	0	0	2.379	8.062
t2512564073_Mycobacterium_tuberculosis	0.003733	0.2271	0	0	3.341	7.024
t642555140_Mycobacterium_ulcerans	0.02256	0.2313	0	0	23.64	41.2
t637000319_Thermobifida_fusca	0.1032	0.1967	0	0	65	296.6
t637000248_Rubrobacter_xylanophilus	0.1155	0.1604	0	0	135.5	282.2
N92	0.02253	0.03595	0.1364	3	58.78	43.24
N93	0.01177	0.04772	0.1521	2	9.431	49.69
N94	0.02962	0.07734	0.1292	1	28.82	92.29
t637000236_Rhodopirellula_baltica	0.1292	0.2065	0	0	147.3	267.6
N95	0.669	0.7463	0.003371	2	566.7	1036
N96	0.006859	0.7532	0.002218	1	1.291	8.363
t645951815_Chlamydia_muridarum	0.002861	0.756	0	0	3.043	1.313
t637000063_Chlamydia_trachomatis	0.002218	0.7554	0	0	0.7624	2.033
N97	1.003e-07	0.7463	0.003371	1	8.257e-05	1.979e-05
t637000065_Chlamydophila_abortus	0.004519	0.7508	0	0	0.1079	4.451
N98	0.003371	0.7497	1.01e-07	1	6.732	0.07467
t637000066_Chlamydophila_caviae	0.002836	0.7525	0	0	0.03611	4.036
t637000067_Chlamydophila_felis	1.01e-07	0.7497	0	0	7.219e-05	9.869e-08
N99	0.01976	0.06749	0.1323	2	15.58	74.76
N100	0.02351	0.091	0.1384	2	18	68.78
N101	1.069	1.16	0.0462	2	1009	1470
N102	0.0986	1.258	0.003049	1	67.74	91.75
N103	0.003049	1.261	1.011e-07	1	4.483	0.3369
t2511231194_Borrelia_garinii	0.004313	1.266	0	0	2.083	4.083
t641736176_Borrelia_afzelii	1.011e-07	1.261	0	0	9.888e-05	3.876e-06
t650377913_Borrelia_burgdorferi	0.004962	1.263	0	0	0.9249	5.779
N104	0.001024	1.161	0.04517	1	0.7206	0.903
t637000327_Treponema_denticola	0.2238	1.385	0	0	288.1	155.8
t2511231215_Treponema_pallidum	0.04517	1.206	0	0	20.41	46.09
N105	0.1327	0.2237	0.005699	1	102.2	276.8
t637000150_Leptospira_interrogans	0.005699	0.2294	0	0	7.805	4.037
t639633033_Leptospira_borgpetersenii	0.01913	0.2428	0	0	4.869	37.1
N106	0.02167	0.08915	0.1106	1	22.75	69.35
N107	0.03473	0.1239	0.07592	1	37.98	85.87
t637000087_Cytophaga_hutchinsonii	0.07592	0.1998	0	0	53.42	150.5
N108	0.01087	0.1348	0.08681	1	11.02	22.84
N109	0.1084	0.2431	0.01077	1	137.1	188.9
t650716072_Porphyromonas_gingivalis	0.1516	0.3947	0	0	100.9	266.3
N110	0.006226	0.2493	0.004544	1	9.782	7.041
t637000024_Bacteroides_fragilis	0.004544	0.2539	0	0	6.235	5.369
t637000026_Bacteroides_thetaiotaomicron	0.02243	0.2718	0	0	28.76	30.9
t639633025_Gramella_forsetii	0.08681	0.2216	0	0	78.04	156.3
t637000250_Salinibacter_ruber	0.1302	0.2194	0	0	107.7	273.6
N111	0.007461	0.04341	0.1289	2	19.92	14.62
N112	0.1225	0.1659	0.137	1	93.02	346.9
N113	0.1171	0.283	0.03727	2	92.84	203.4
N114	0.01724	0.3002	0.02003	1	15.02	21.98
t639633016_Campylobacter_fetus	0.02003	0.3202	0	0	17.55	22.38
t640963041_Campylobacter_jejuni	0.02546	0.3257	0	0	25.86	25.69
N115	0.006585	0.2895	0.03619	1	4.715	7.321
t637000341_Wolinella_succinogenes	0.03619	0.3257	0	0	49.31	28.49
N116	0.02438	0.3139	0.02075	1	14.27	36.41
N117	0.0789	0.3928	0.002868	1	53.89	105.4
t650377950_Helicobacter_pylori	0.002868	0.3957	0	0	3.114	1.61
t637000130_Helicobacter_acinonychis	0.008153	0.401	0	0	2.897	12.39
t637000131_Helicobacter_hepaticus	0.02075	0.3347	0	0	15.63	25.67
t637000010_Aquifex_aeolicus	0.137	0.3028	0	0	115	214.3
N118	4.786e-05	0.04346	0.1289	3	0.117	0.09113
N119	0.08372	0.1272	0.06828	2	85.32	262.3
N120	0.0186	0.1458	0.04969	1	20.78	39.95
t637000204_Pelobacter_carbinolicus	0.05502	0.2008	0	0	53.63	97.81
N121	0.0151	0.1609	0.03459	1	11.67	33.1
t639633050_Pelobacter_propionicus	0.04251	0.2034	0	0	34.35	80.1
N122	0.02277	0.1837	0.01181	1	17.03	45.05
t648231707_Geobacter_sulfurreducens	0.01181	0.1955	0	0	6.171	25.91
t637000119_Geobacter_metallireducens	0.03132	0.215	0	0	58.06	22.8
N123	0.01922	0.1464	0.08425	2	21.69	38.83
N124	0.01106	0.1575	0.08073	1	9.573	23.78
N125	0.06837	0.2258	0.01236	1	53.28	134
t637000096_Desulfovibrio_vulgaris	0.01236	0.2382	0	0	7.838	20.14
N126	2.449e-05	0.2259	0.02335	1	0.02443	0.02968
t637000145_Lawsonia_intracellularis	0.2085	0.4343	0	0	128.2	328.5
t643348538_Desulfovibrio_desulfuricans	0.02335	0.2492	0	0	33.33	26.63
t637000094_Desulfotalea_psychrophila	0.1051	0.2626	0	0	100.1	182.1
N127	0.02867	0.1751	0.05558	1	27.95	54.28
t639633063_Syntrophobacter_fumaroxidans	0.05558	0.2307	0	0	59.2	88.08
t637000317_Syntrophus_aciditrophicus	0.1183	0.2934	0	0	109	207.8
N128	0.01716	0.06062	0.1117	2	52.56	29.64
N129	0.01631	0.07693	0.09543	1	16.16	61.34
t637000030_Bdellovibrio_bacteriovorus	0.2267	0.3036	0	0	187.8	518.9
N130	0.02123	0.09816	0.0742	1	25	64.61
t637000186_Myxococcus_xanthus	0.08656	0.1847	0	0	111.1	189.6
t637000007_Anaeromyxobacter_dehalogenans	0.0742	0.1724	0	0	64.33	194.8
N131	0.04312	0.1037	0.112	3	150.8	69.84
N132	0.01788	0.1216	0.1031	2	53.34	43.77
N133	0.006764	0.1284	0.1134	1	14.5	20.72
t637000325_Thiomicrospira_crunogena	0.1897	0.3181	0	0	133.4	537
N134	0.001716	0.1301	0.1117	3	3.145	5.102
N135	0.01133	0.1414	0.1003	2	19.54	34.13
N136	0.01627	0.1577	0.08406	3	33.99	41.23
N137	0.05711	0.2148	0.06199	2	75.07	194.2
N138	0.01828	0.2331	0.04371	2	41.58	42.85
N139	0.03185	0.2649	0.01186	1	18.46	100.4
t639633057_Shewanella_amazonensis	0.01304	0.278	0	0	10.13	28.59
N140	0.001984	0.2669	0.009872	1	0.9854	5.241
t640069331_Shewanella_loihica	0.009872	0.2768	0	0	11.17	21.37
N141	0.004567	0.2715	0.01627	2	1.9	12.05
N142	0.003815	0.2753	0.01276	1	3.688	9.03
t637000257_Shewanella_frigidimarina	0.01276	0.2881	0	0	15.47	22.18
t637000256_Shewanella_denitrificans	0.03421	0.3095	0	0	30.39	69.09
N143	0.009653	0.2811	0.006622	1	5.714	22.76
t637000258_Shewanella_oneidensis	0.01536	0.2965	0	0	26.04	18.05
t641228507_Shewanella_baltica	0.006622	0.2878	0	0	10.91	8.911
N144	0.02221	0.2553	0.06395	1	60.76	30.73
t639633052_Psychromonas_ingrahamii	0.06897	0.3243	0	0	75.45	175.8
N145	0.02285	0.2781	0.0411	1	63.29	31.71
N146	0.009144	0.2873	0.0424	2	19.12	17.61
N147	0.01586	0.3032	0.02654	1	11.89	54.99
t638341150_Photobacterium_profundum	0.02707	0.3302	0	0	38.03	57.4
N148	0.008608	0.3118	0.01794	1	5.348	30.86
N149	0.003885	0.3156	0.01405	1	2.383	10.45
t637000335_Vibrio_parahaemolyticus	0.01756	0.3332	0	0	22.91	34.7
t649633107_Vibrio_vulnificus	0.01405	0.3297	0	0	7.202	42.99
t643692054_Vibrio_cholerae	0.03572	0.3475	0	0	22.21	104.1
N150	0.02113	0.3084	0.06787	2	45.68	47.74
N151	0.102	0.4104	0.02436	2	54.68	303.4
N152	0.005641	0.4161	0.02177	1	3.161	12.22
t2512564074_Pasteurella_multocida	0.02177	0.4378	0	0	24.27	32.92
t650377945_Haemophilus_influenzae	0.06103	0.4771	0	0	25.94	129.6
N153	0.01975	0.4302	0.004614	1	13.29	40.32
t637000124_Haemophilus_ducreyi	0.1066	0.5368	0	0	46.77	204.4
t641522604_Actinobacillus_pleuropneumoniae	0.004614	0.4348	0	0	4.568	7.248
N154	0.02674	0.3352	0.04113	1	84.49	34.78
t637000207_Photorhabdus_luminescens	0.0704	0.4056	0	0	99.16	196.3
N155	0.006097	0.3413	0.03503	2	21.05	7.649
N156	0.01145	0.3527	0.02358	1	15.68	36.2
t640069335_Yersinia_enterocolitica	0.02358	0.3763	0	0	27.46	61.47
N157	0.02875	0.3815	0.001342	1	31.93	93.04
t646862351_Yersinia_pestis	0.008443	0.3899	0	0	1.873	28.77
t637000355_Yersinia_pseudotuberculosis	0.001342	0.3828	0	0	1.855	2.756
N158	0.003148	0.3444	0.0541	2	8.577	5.314
N159	0.02716	0.3716	0.02694	1	74.97	34.98
N160	0.02357	0.3951	0.02054	1	44.73	45.08
N161	0.004929	0.4001	0.01654	1	12.26	4.992
N162	0.00493	0.405	0.01161	1	1.376	19.96
t640427143_Shigella_sonnei	0.01161	0.4166	0	0	7.692	37.8
N163	0.009828	0.4148	0.00955	1	1.138	41.97
t640427142_Shigella_dysenteriae	0.04131	0.4561	0	0	15.54	138.8
t641522650_Shigella_boydii	0.00955	0.4244	0	0	2.35	36.62
t638341089_Escherichia_coli	0.01795	0.418	0	0	48.28	27.97
t637000265_Shigella_flexneri	0.02054	0.4157	0	0	3.917	85.34
t642555155_Salmonella_enterica	0.02694	0.3985	0	0	44.56	81.33
N164	0.1391	0.4836	0.0008313	1	79.2	409
N165	0.1202	0.6037	0.224	1	92.84	201.3
t650377917_Buchnera_aphidicola	0.3048	0.9085	0	0	222.6	415.1
t637000338_Wigglesworthia_glossinidia	0.224	0.8277	0	0	137.1	315.6
t637000270_Sodalis_glossinidius	0.0008313	0.4844	0	0	0.4849	1.425
t639633004_Aeromonas_hydrophila	0.0411	0.3193	0	0	56.28	99.24
N166	0.01643	0.2312	0.05779	1	10.28	54.06
t637000136_Idiomarina_loihiensis	0.1077	0.3389	0	0	56.94	268.8
N167	0.0008682	0.2321	0.05692	1	0.8257	2.073
t637000216_Pseudoalteromonas_atlantica	0.05692	0.289	0	0	80.31	106.9
t637000217_Pseudoalteromonas_haloplanktis	0.05791	0.29	0	0	45.98	146.6
N168	0.005019	0.1627	0.07904	2	7.105	9.915
N169	0.02333	0.186	0.09421	1	11.81	93.45
N170	0.0412	0.2272	0.05438	1	31.99	125.4
t650377902_Acinetobacter_baumannii	0.05438	0.2816	0	0	61.62	111.6
t637000227_Psychrobacter_cryohalolentis	0.057	0.2842	0	0	31.65	156.6
t637000004_Alcanivorax_borkumensis	0.09421	0.2803	0	0	51	279.3
N171	0.001209	0.1639	0.07783	1	2.348	2.392
N172	0.002103	0.166	0.07573	1	4.864	3.107
t637000128_Hahella_chejuensis	0.07573	0.2417	0	0	97.97	231.7
N173	0.01104	0.1771	0.06585	1	22.61	20.92
t637000075_Chromohalobacter_salexigens	0.09901	0.2761	0	0	104.8	286.2
N174	0.04025	0.2173	0.0256	1	86.94	72.98
N175	0.01023	0.2275	0.02139	2	16.56	26.44
N176	0.02151	0.249	0.01552	1	17.52	77.59
t637000219_Pseudomonas_entomophila	0.01552	0.2646	0	0	20.3	44.7
t650716076_Pseudomonas_putida	0.02137	0.2704	0	0	28.86	52.26
N177	0.002043	0.2296	0.01935	1	3.155	4.15
t2505313072_Pseudomonas_syringae	0.05615	0.2857	0	0	66.87	158.3
t2511231156_Pseudomonas_fluorescens	0.01935	0.2489	0	0	30.5	49.97
t2511231165_Pseudomonas_aeruginosa	0.0256	0.2429	0	0	40.14	66.48
t637000249_Saccharophagus_degradans	0.1434	0.3073	0	0	113.3	412.2
N178	0.1215	0.2629	0.08528	1	83.36	402.9
N179	0.03137	0.2943	0.05391	1	24.09	62.61
t646564542_Legionella_pneumophila	0.05391	0.3482	0	0	55.4	80.34
t643348531_Coxiella_burnetii	0.1236	0.4179	0	0	81.5	208.4
t637000114_Francisella_tularensis	0.186	0.4489	0	0	144.5	316.9
N180	0.01506	0.1452	0.1095	2	12.43	65.01
N181	0.05024	0.1954	0.08182	1	34.8	184.8
t647533188_Nitrosococcus_oceani	0.08182	0.2772	0	0	66.94	193
t639633026_Halorhodospira_halophila	0.1106	0.306	0	0	102	229.1
N182	0.0001173	0.1453	0.1093	1	0.1086	0.4132
t637000166_Methylococcus_capsulatus	0.133	0.2782	0	0	114.9	374.6
N183	0.08796	0.2332	0.02137	1	106.8	252.2
N184	0.01389	0.2471	0.007482	1	24.37	20.16
N185	0.003352	0.2505	0.00413	1	6.267	1.334
t637000342_Xanthomonas_axonopodis	0.00413	0.2546	0	0	5.39	9.849
t637000345_Xanthomonas_campestris	0.007229	0.2577	0	0	12.61	10.07
t642555170_Xanthomonas_oryzae	0.02491	0.272	0	0	5.488	78.01
t637000349_Xylella_fastidiosa	0.1284	0.3616	0	0	60.72	302
N186	0.007064	0.1287	0.09607	2	12.02	19.55
N187	0.02876	0.1574	0.06984	1	25.59	128.8
t637000074_Chromobacterium_violaceum	0.06984	0.2273	0	0	97.91	185
N188	0.1725	0.3299	0.008641	1	102.8	442.1
t642555143_Neisseria_gonorrhoeae	0.01378	0.3437	0	0	3.828	24.63
t637000189_Neisseria_meningitidis	0.008641	0.3385	0	0	6.963	9.766
N189	0.001241	0.1299	0.09483	2	1.931	2.931
N190	0.01085	0.1408	0.08397	1	24.95	19.03
t637000088_Dechloromonas_aromatica	0.1051	0.2458	0	0	102.8	329.9
N191	0.0156	0.1564	0.06837	2	32.74	27.11
N192	0.008471	0.1648	0.0599	2	17.27	14
N193	0.016	0.1808	0.0669	1	15.7	52.81
t640069319_Methylibium_petroleiphilum	0.07675	0.2576	0	0	67.87	245.8
N194	0.009961	0.1908	0.05694	2	10.44	28.53
N195	0.01173	0.2025	0.04521	1	11.66	44.04
t637000235_Rhodoferax_ferrireducens	0.05507	0.2576	0	0	72.26	156.8
t639633051_Polaromonas_naphthalenivorans	0.04521	0.2477	0	0	46.79	125.3
N196	0.009361	0.2002	0.05123	1	7.17	31.03
t639633065_Verminephrobacter_eiseniae	0.08936	0.2895	0	0	136.3	194.3
t639633002_Acidovorax_avenae	0.05123	0.2514	0	0	37.16	181.2
N197	0.01555	0.1804	0.04435	1	34.31	33.54
t651053062_Ralstonia_solanacearum	0.04435	0.2247	0	0	41.59	185.4
N198	0.0237	0.2041	0.03995	1	64.42	32.43
t637000053_Burkholderia_xenovorans	0.04332	0.2474	0	0	114.2	71.04
N199	0.0129	0.217	0.02705	2	20.45	48.15
N200	0.01596	0.2329	0.01109	1	28.28	47.63
t637000046_Burkholderia_cenocepacia	0.01109	0.244	0	0	17.3	27.1
t637000047_Burkholderia_cepacia	0.01194	0.2449	0	0	25.48	31.27
N201	0.01924	0.2362	0.009703	1	20.8	71.15
t641736124_Burkholderia_thailandensis	0.009703	0.2459	0	0	11.95	34.74
N202	0.01197	0.2482	1.002e-07	1	23.92	21.72
t638341031_Burkholderia_mallei	0.01568	0.2639	0	0	1.061	62.06
t640069306_Burkholderia_pseudomallei	1.002e-07	0.2482	0	0	0.0001393	2.403e-05
N203	0.09245	0.2488	0.008294	1	82.33	306.2
N204	0.002304	0.2511	0.00599	1	4.042	1.244
t637000032_Bordetella_bronchiseptica	0.009526	0.2606	0	0	21.97	5.66
t637000033_Bordetella_parapertussis	0.00599	0.2571	0	0	0.2305	20.92
t651053009_Bordetella_pertussis	0.0262	0.275	0	0	5.256	78.15
N205	0.07114	0.2011	0.06354	2	36.44	291.7
N206	0.01343	0.2145	0.05011	1	8.838	35.09
t637000324_Thiobacillus_denitrificans	0.05011	0.2646	0	0	40.62	106.4
