branch	length@orginal	lengthAfterBBL	factor	Diff	logL@orginal	logLAfterBBL	logL_Diff
N16	0.08969	0.01453	0.162	-0.07516	-1.728e+04	-1.728e+04	-0.2462
N17	2.205	0.1269	0.05756	-2.078	-1.734e+04	-1.728e+04	65.47
N18	1.679	0.2894	0.1723	-1.39	-1.734e+04	-1.728e+04	61.38
t640963015_Bifidobacterium_adolescentis	0.2239	0.0323	0.1442	-0.1916	-1.738e+04	-1.728e+04	99.51
t649633019_Bifidobacterium_longum	0.2674	0.01318	0.04928	-0.2542	-1.741e+04	-1.728e+04	131.9
t651053059_Propionibacterium_acnes	1.164	0.2737	0.2352	-0.8902	-1.73e+04	-1.728e+04	24.98
N19	0.1601	0.1176	0.7345	-0.04251	-1.727e+04	-1.728e+04	-3.317
N20	3.069	0.1768	0.0576	-2.892	-1.734e+04	-1.728e+04	65.52
t650716072_Porphyromonas_gingivalis	0.7441	0.2323	0.3123	-0.5117	-1.734e+04	-1.728e+04	66.11
N21	0.4804	0.05805	0.1208	-0.4224	-1.732e+04	-1.728e+04	45.88
t637000024_Bacteroides_fragilis	0.123	0.01443	0.1173	-0.1086	-1.735e+04	-1.728e+04	74.48
t637000026_Bacteroides_thetaiotaomicron	0.1068	0.02884	0.2701	-0.07793	-1.732e+04	-1.728e+04	44.7
N22	0.157	0.1269	0.8082	-0.03012	-1.727e+04	-1.728e+04	-2.511
N23	2.167	0.2987	0.1378	-1.868	-1.733e+04	-1.728e+04	50.03
t640963041_Campylobacter_jejuni	1.188	0.05511	0.0464	-1.133	-1.749e+04	-1.728e+04	210.4
t637000341_Wolinella_succinogenes	0.7719	0.08209	0.1063	-0.6898	-1.744e+04	-1.728e+04	159.2
N24	0.1922	0.01825	0.09494	-0.174	-1.729e+04	-1.728e+04	8.456
t643348538_Desulfovibrio_desulfuricans	2.687	0.2455	0.09136	-2.442	-1.735e+04	-1.728e+04	71.07
N25	1.868	0.8004	0.4284	-1.068	-1.726e+04	-1.728e+04	-18.38
N26	1.966	0.2685	0.1366	-1.698	-1.729e+04	-1.728e+04	15.45
N27	0.07508	0.03928	0.5232	-0.0358	-1.729e+04	-1.728e+04	13.57
N28	0.001572	0.01108	7.052	0.009513	-1.727e+04	-1.728e+04	-2.873
N29	0.01008	0.006244	0.6194	-0.003837	-1.728e+04	-1.728e+04	2.413
t640427143_Shigella_sonnei	0.01482	0.02564	1.731	0.01083	-1.728e+04	-1.728e+04	-1.369
N30	0.01756	0.01805	1.028	0.0004877	-1.728e+04	-1.728e+04	-0.09631
t640427142_Shigella_dysenteriae	0.02664	0.08688	3.261	0.06024	-1.732e+04	-1.728e+04	45.77
t641522650_Shigella_boydii	0.01542	0.01762	1.143	0.002202	-1.728e+04	-1.728e+04	-0.05077
t638341089_Escherichia_coli	0.03247	0.04597	1.416	0.0135	-1.727e+04	-1.728e+04	-6.157
t637000265_Shigella_flexneri	0.03261	0.0367	1.125	0.004083	-1.728e+04	-1.728e+04	-0.5718
t642555155_Salmonella_enterica	0.1951	0.07224	0.3703	-0.1228	-1.734e+04	-1.728e+04	61.03
t2511231165_Pseudomonas_aeruginosa	1.365	1.079	0.7901	-0.2866	-1.728e+04	-1.728e+04	5.049
